block,timestamp,previousVariableBorrowIndex,variableBorrowIndex,percent_deltaIndex,currentVariableBorrowRate,utilization
24462593,1771163171,1218064498002859281580765366,1218064567564127038420602930,0.000000001189750691484488647841,37520020245258903677614711,0.690396060735043448630676721223
24462596,1771163207,1218064567564127038420602930,1218064619735140981077361945,0.000000001189752062301528752313,37520004827047469973334593,0.690395779058517011783635553002
24462598,1771163231,1218064619735140981077361945,1218064654515803891734551907,0.000000001189751565785120540151,37549086955700829204534711,0.690930934532188678609543330822
24462599,1771163243,1218064654515803891734551907,1218064671919615138625046272,0.000000001190673744784949810803,37548887845020203153621733,0.690927271283542254742826571601
24462601,1771163267,1218064671919615138625046272,1218064706727053804820830636,0.000000001190667444269285063039,37548888176684280060367100,0.690927278750676610030723168165
24462606,1771163327,1218064706727053804820830636,1218064793745655590562326224,0.000000001190667475725604080299,37548840791101064263032938,0.690926410195994322727131020656
24462608,1771163351,1218064793745655590562326224,1218064828553054119549926593,0.000000001190665945468201819078,37549467886340680488532035,0.690937951039043096734815208038
24462619,1771163483,1218064828553054119549926593,1218065019996961019460599729,0.000000001190685910137849989717,37549474714701801040019915,0.690938084193470358762567684607
24462620,1771163495,1218065019996961019460599729,1218065037400957212761242109,0.000000001190686049756806141886,37549580654479190089979150,0.690940034335353003847046693409
24462621,1771163507,1218065037400957212761242109,1218065054805002757299202252,0.000000001190689398929597025510,37549580820310504911754903,0.690940038068944550886385513877
24462625,1771163555,1218065054805002757299202252,1218065124421187729636592082,0.000000001190689431311102048274,37549578471903632479150218,0.690939997582988296720429843845
24462626,1771163567,1218065124421187729636592082,1218065141825233505930252980,0.000000001190689324914728786098,37549561793332600126445038,0.690939691367126296306366839417
24462628,1771163591,1218065141825233505930252980,1218065176633310343666216380,0.000000001190688806810650696623,37549544568857965947484523,0.690939375788405030220928892959
24462638,1771163711,1218065176633310343666216380,1218065350673629618147275211,0.000000001190688333115493426719,37549545989892913096042071,0.690939408758035500390803917981
24462641,1771163747,1218065350673629618147275211,1218065402885732225550084593,0.000000001190688319546100885140,37549579270491999295297227,0.690940023216421339569137671788
24462642,1771163759,1218065402885732225550084593,1218065420289782350762776906,0.000000001190689361922163009201,37549583775267957774832373,0.690940106793011432628759393992
24462655,1771163915,1218065420289782350762776906,1218065646542483751097750746,0.000000001190689601047122175142,37549586628855249832229343,0.690940168169383750473855343444
